timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 02:10:27.155, 40.26 W, 210 MHz, 405 MHz, 25, P8, 0x0000000000000004
2026/06/29 02:10:32.166, 40.33 W, 210 MHz, 405 MHz, 25, P8, 0x0000000000000001
2026/06/29 02:10:37.167, 40.30 W, 210 MHz, 405 MHz, 25, P8, 0x0000000000000004
2026/06/29 02:10:42.168, 435.32 W, 1875 MHz, 9501 MHz, 48, P2, 0x0000000000000004
2026/06/29 02:10:47.169, 437.05 W, 1875 MHz, 9501 MHz, 54, P2, 0x0000000000000004
2026/06/29 02:10:52.169, 437.50 W, 1890 MHz, 9501 MHz, 57, P2, 0x0000000000000004
2026/06/29 02:10:57.170, 437.76 W, 1860 MHz, 9501 MHz, 60, P2, 0x0000000000000004
2026/06/29 02:11:02.171, 440.06 W, 1890 MHz, 9501 MHz, 62, P2, 0x0000000000000004
2026/06/29 02:11:07.171, 439.43 W, 1860 MHz, 9501 MHz, 64, P2, 0x0000000000000004
2026/06/29 02:11:12.173, 441.33 W, 1845 MHz, 9501 MHz, 66, P2, 0x0000000000000004
2026/06/29 02:11:17.173, 441.77 W, 1860 MHz, 9501 MHz, 67, P2, 0x0000000000000004
2026/06/29 02:11:22.174, 441.70 W, 1845 MHz, 9501 MHz, 69, P2, 0x0000000000000004
2026/06/29 02:11:27.175, 443.42 W, 1830 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 02:11:32.176, 444.49 W, 1845 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 02:11:37.176, 444.57 W, 1815 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 02:11:42.178, 443.34 W, 1845 MHz, 9501 MHz, 73, P2, 0x0000000000000004
2026/06/29 02:11:47.178, 445.29 W, 1815 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:11:52.179, 445.74 W, 1845 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:11:57.180, 446.04 W, 1815 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:12:02.181, 446.62 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:12:07.181, 445.87 W, 1815 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:12:12.183, 447.10 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:12:17.183, 447.61 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:12:22.184, 154.39 W, 360 MHz, 810 MHz, 59, P5, 0x0000000000000001
