timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 02:14:08.164, 41.15 W, 210 MHz, 405 MHz, 30, P8, 0x0000000000000004
2026/06/29 02:14:13.175, 41.46 W, 210 MHz, 405 MHz, 30, P8, 0x0000000000000001
2026/06/29 02:14:18.176, 44.97 W, 1800 MHz, 9501 MHz, 31, P2, 0x0000000000000004
2026/06/29 02:14:23.177, 439.40 W, 1905 MHz, 9501 MHz, 54, P2, 0x0000000000000004
2026/06/29 02:14:28.177, 441.12 W, 1875 MHz, 9501 MHz, 60, P2, 0x0000000000000004
2026/06/29 02:14:33.178, 441.95 W, 1875 MHz, 9501 MHz, 63, P2, 0x0000000000000004
2026/06/29 02:14:38.179, 441.77 W, 1860 MHz, 9501 MHz, 65, P2, 0x0000000000000004
2026/06/29 02:14:43.179, 442.60 W, 1845 MHz, 9501 MHz, 67, P2, 0x0000000000000004
2026/06/29 02:14:48.180, 444.40 W, 1860 MHz, 9501 MHz, 69, P2, 0x0000000000000004
2026/06/29 02:14:53.181, 444.64 W, 1845 MHz, 9501 MHz, 70, P2, 0x0000000000000004
2026/06/29 02:14:58.181, 444.46 W, 1845 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 02:15:03.182, 444.57 W, 1830 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 02:15:08.183, 447.03 W, 1860 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:15:13.184, 446.68 W, 1830 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:15:18.185, 446.17 W, 1845 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:15:23.185, 448.85 W, 1815 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:15:28.186, 448.06 W, 1845 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:15:33.187, 447.18 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:15:38.188, 447.18 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:15:43.188, 448.31 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:15:48.189, 449.76 W, 1830 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 02:15:53.190, 450.23 W, 1830 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 02:15:58.191, 450.45 W, 1830 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 02:16:03.192, 144.30 W, 480 MHz, 810 MHz, 60, P5, 0x0000000000000001
