timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 02:23:45.040, 85.42 W, 1995 MHz, 810 MHz, 31, P5, 0x0000000000000024
2026/06/29 02:23:50.045, 85.59 W, 1995 MHz, 810 MHz, 31, P5, 0x0000000000000024
2026/06/29 02:23:55.046, 85.57 W, 1995 MHz, 810 MHz, 31, P5, 0x0000000000000000
2026/06/29 02:24:00.047, 216.70 W, 1920 MHz, 9501 MHz, 42, P2, 0x0000000000000004
2026/06/29 02:24:05.048, 438.90 W, 1890 MHz, 9501 MHz, 55, P2, 0x0000000000000004
2026/06/29 02:24:10.048, 438.70 W, 1875 MHz, 9501 MHz, 59, P2, 0x0000000000000004
2026/06/29 02:24:15.049, 440.38 W, 1875 MHz, 9501 MHz, 63, P2, 0x0000000000000004
2026/06/29 02:24:20.050, 439.93 W, 1860 MHz, 9501 MHz, 65, P2, 0x0000000000000004
2026/06/29 02:24:25.050, 441.34 W, 1860 MHz, 9501 MHz, 67, P2, 0x0000000000000004
2026/06/29 02:24:30.051, 441.71 W, 1845 MHz, 9501 MHz, 68, P2, 0x0000000000000004
2026/06/29 02:24:35.052, 442.85 W, 1845 MHz, 9501 MHz, 70, P2, 0x0000000000000004
2026/06/29 02:24:40.053, 443.49 W, 1845 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 02:24:45.053, 444.30 W, 1830 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 02:24:50.054, 444.80 W, 1830 MHz, 9501 MHz, 73, P2, 0x0000000000000004
2026/06/29 02:24:55.055, 445.22 W, 1815 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:25:00.056, 445.49 W, 1845 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:25:05.057, 446.85 W, 1815 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:25:10.057, 446.89 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:25:15.058, 447.30 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:25:20.059, 447.28 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:25:25.060, 448.15 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:25:30.060, 449.10 W, 1800 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 02:25:35.061, 447.76 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:25:40.062, 447.90 W, 1800 MHz, 9501 MHz, 78, P2, 0x0000000000000004
