timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 01:55:12.244, 42.56 W, 210 MHz, 405 MHz, 38, P8, 0x0000000000000001
2026/06/29 01:55:17.257, 42.54 W, 210 MHz, 405 MHz, 37, P8, 0x0000000000000004
2026/06/29 01:55:22.258, 42.41 W, 210 MHz, 405 MHz, 36, P8, 0x0000000000000004
2026/06/29 01:55:27.259, 442.22 W, 1875 MHz, 9501 MHz, 52, P2, 0x0000000000000004
2026/06/29 01:55:32.259, 442.57 W, 1890 MHz, 9501 MHz, 63, P2, 0x0000000000000004
2026/06/29 01:55:37.260, 442.72 W, 1845 MHz, 9501 MHz, 66, P2, 0x0000000000000004
2026/06/29 01:55:42.261, 443.81 W, 1875 MHz, 9501 MHz, 68, P2, 0x0000000000000004
2026/06/29 01:55:47.261, 443.45 W, 1830 MHz, 9501 MHz, 69, P2, 0x0000000000000004
2026/06/29 01:55:52.262, 445.06 W, 1860 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 01:55:57.263, 446.69 W, 1845 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 01:56:02.264, 445.62 W, 1830 MHz, 9501 MHz, 73, P2, 0x0000000000000004
2026/06/29 01:56:07.264, 446.66 W, 1845 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 01:56:12.265, 445.40 W, 1815 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 01:56:17.266, 447.66 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 01:56:22.266, 448.12 W, 1845 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 01:56:27.267, 447.95 W, 1815 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 01:56:32.268, 448.54 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 01:56:37.269, 448.60 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 01:56:42.270, 448.96 W, 1815 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 01:56:47.270, 449.11 W, 1815 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 01:56:52.271, 448.89 W, 1830 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 01:56:57.272, 448.72 W, 1800 MHz, 9501 MHz, 78, P2, 0x0000000000000004
2026/06/29 01:57:02.273, 450.76 W, 1830 MHz, 9501 MHz, 79, P2, 0x0000000000000004
2026/06/29 01:57:07.274, 209.98 W, 1935 MHz, 9751 MHz, 66, P0, 0x0000000000000000
