timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 02:03:40.584, 40.36 W, 210 MHz, 405 MHz, 26, P8, 0x0000000000000004
2026/06/29 02:03:45.596, 40.72 W, 210 MHz, 405 MHz, 26, P8, 0x0000000000000001
2026/06/29 02:03:50.597, 40.39 W, 210 MHz, 405 MHz, 26, P8, 0x0000000000000004
2026/06/29 02:03:55.597, 436.01 W, 1890 MHz, 9501 MHz, 47, P2, 0x0000000000000004
2026/06/29 02:04:00.598, 438.07 W, 1890 MHz, 9501 MHz, 54, P2, 0x0000000000000004
2026/06/29 02:04:05.599, 439.36 W, 1890 MHz, 9501 MHz, 57, P2, 0x0000000000000004
2026/06/29 02:04:10.599, 438.71 W, 1890 MHz, 9501 MHz, 60, P2, 0x0000000000000004
2026/06/29 02:04:15.600, 441.00 W, 1860 MHz, 9501 MHz, 63, P2, 0x0000000000000004
2026/06/29 02:04:20.601, 439.35 W, 1875 MHz, 9501 MHz, 65, P2, 0x0000000000000004
2026/06/29 02:04:25.602, 441.86 W, 1845 MHz, 9501 MHz, 66, P2, 0x0000000000000004
2026/06/29 02:04:30.602, 443.54 W, 1875 MHz, 9501 MHz, 68, P2, 0x0000000000000004
2026/06/29 02:04:35.603, 443.60 W, 1845 MHz, 9501 MHz, 69, P2, 0x0000000000000004
2026/06/29 02:04:40.604, 442.34 W, 1845 MHz, 9501 MHz, 70, P2, 0x0000000000000004
2026/06/29 02:04:45.605, 443.02 W, 1845 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 02:04:50.605, 443.57 W, 1845 MHz, 9501 MHz, 73, P2, 0x0000000000000004
2026/06/29 02:04:55.606, 445.71 W, 1845 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:05:00.607, 446.04 W, 1830 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:05:05.608, 446.71 W, 1830 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:05:10.608, 446.91 W, 1830 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:05:15.609, 444.01 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:05:20.610, 447.40 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:05:25.611, 447.17 W, 1815 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:05:30.612, 447.68 W, 1815 MHz, 9501 MHz, 78, P2, 0x0000000000000004
