timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu, pstate, clocks_event_reasons.active
2026/06/29 02:19:22.221, 40.69 W, 210 MHz, 405 MHz, 27, P8, 0x0000000000000004
2026/06/29 02:19:27.232, 40.62 W, 210 MHz, 405 MHz, 27, P8, 0x0000000000000004
2026/06/29 02:19:32.233, 40.67 W, 210 MHz, 405 MHz, 26, P8, 0x0000000000000004
2026/06/29 02:19:37.234, 439.10 W, 1905 MHz, 9501 MHz, 47, P2, 0x0000000000000004
2026/06/29 02:19:42.235, 438.45 W, 1890 MHz, 9501 MHz, 55, P2, 0x0000000000000004
2026/06/29 02:19:47.235, 439.22 W, 1890 MHz, 9501 MHz, 59, P2, 0x0000000000000004
2026/06/29 02:19:52.236, 440.75 W, 1875 MHz, 9501 MHz, 61, P2, 0x0000000000000004
2026/06/29 02:19:57.237, 441.31 W, 1875 MHz, 9501 MHz, 64, P2, 0x0000000000000004
2026/06/29 02:20:02.237, 441.93 W, 1860 MHz, 9501 MHz, 66, P2, 0x0000000000000004
2026/06/29 02:20:07.238, 441.97 W, 1860 MHz, 9501 MHz, 67, P2, 0x0000000000000004
2026/06/29 02:20:12.239, 443.22 W, 1860 MHz, 9501 MHz, 69, P2, 0x0000000000000004
2026/06/29 02:20:17.240, 443.88 W, 1845 MHz, 9501 MHz, 70, P2, 0x0000000000000004
2026/06/29 02:20:22.240, 443.84 W, 1845 MHz, 9501 MHz, 71, P2, 0x0000000000000004
2026/06/29 02:20:27.241, 443.46 W, 1860 MHz, 9501 MHz, 72, P2, 0x0000000000000004
2026/06/29 02:20:32.242, 444.43 W, 1845 MHz, 9501 MHz, 73, P2, 0x0000000000000004
2026/06/29 02:20:37.243, 446.20 W, 1845 MHz, 9501 MHz, 74, P2, 0x0000000000000004
2026/06/29 02:20:42.244, 447.36 W, 1830 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:20:47.245, 446.87 W, 1830 MHz, 9501 MHz, 75, P2, 0x0000000000000004
2026/06/29 02:20:52.245, 447.28 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:20:57.246, 447.33 W, 1830 MHz, 9501 MHz, 76, P2, 0x0000000000000004
2026/06/29 02:21:02.247, 446.59 W, 1845 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:21:07.248, 448.32 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:21:12.249, 448.19 W, 1830 MHz, 9501 MHz, 77, P2, 0x0000000000000004
2026/06/29 02:21:17.249, 195.84 W, 1920 MHz, 9751 MHz, 64, P5, 0x0000000000000000
